scope,project_count,projects,text_sha256,row_count,sample_issue_ids
cross_project,2,EQUINOX|PLATFORM,dde895e8bffa7407a2df4f2f164668d70ffb233d904bb8d952ffddd8f57e3458,2,63705|63707
cross_project,2,EQUINOX|PLATFORM,e5a402645fcd53fcf0e44fd94c4eb40894043f785999d014fcf934e92ad24b19,2,159741|159814
cross_project,2,EQUINOX|PLATFORM,f05af83c8ec8c8df6c61132d2d3508084260fd897d375edfd7252175ce6f8b06,2,207793|233572
cross_project,3,JDT|MYLYN|PLATFORM,ceb73749c899693706ede1e30c9929b3fd5dd926163831c2fb8bd41e6efb1126,4,401972|430435|458292
cross_project,2,JDT|PDE,0cb8982f4c0de231cff8bf2111356225fa977bfcb4944aea3818e96bfc689eff,2,237377|237374
cross_project,2,JDT|PDE,2e4749ca144b9cc00c8a4ed994b1e96e71d9bae91c37d02e711e50436c032550,2,575475|575478
cross_project,2,JDT|PDE,4128ee1dd2e15d811876110cc140ce26cfd6f4f558cd192c2aa727f4af4c693f,2,269845|269846
cross_project,2,JDT|PDE,52b5ac71613cbd1a6256ad6c1047fa50f40c4436badd3f5b4a7df24e4935ff12,2,406964|406963
cross_project,2,JDT|PDE,596f7c22b611ed7f8d42cf171d60bf7da95f47188f62f7d1439d5b74ce3079b6,2,115013|115008
cross_project,2,JDT|PDE,b132d505fce2ba4a368edb2f0dc7524e426d98d965f29f91b691081c23f463c7,2,171422|171425
cross_project,2,JDT|PDE,ff13cd130168a42d8896180f447dd4b118517e1a506f2783365374b177b793fd,2,112418|112419
cross_project,3,JDT|PDE|PLATFORM,b76a6f076881bfdcff0699804301f5c84f53c9eb75f8b5b20709487a210f4481,8,78867|78866|78868
cross_project,3,JDT|PDE|PLATFORM,b1649ba0ef061838f691f81d1ba0823f8d8c006911981d9240a8e639c3d6b030,7,411164|411161|411162
cross_project,3,JDT|PDE|PLATFORM,5dcce60b83773683cabef2c2a3e4f1c851bb6aae738ddf76e00d8da0f78ca55e,6,157086|157087|157091
cross_project,3,JDT|PDE|PLATFORM,7eaf708b86d8243b639601308374d8424cc5fc8ea285710108474716b262486b,6,460359|460416|460418
cross_project,3,JDT|PDE|PLATFORM,be6d5ef8c05258a3eaa09f0b7046f1e08d3d29ef4af3b5f6fa4ca96cd6dcb5ca,4,155795|155796|155793
cross_project,3,JDT|PDE|PLATFORM,2316273c9a8861d6d52470f2fc4ed3bd96486d7ad7890e3f3d4882abd4a00abb,3,516354|516356|516355
cross_project,3,JDT|PDE|PLATFORM,39230226bd55cced8127f89a69c4bca40d60f38f47367c817cf3e519ef7eef8e,3,82818|82817|82816
cross_project,3,JDT|PDE|PLATFORM,b6b92a9ff6702f3a7f6043c2c5e5afbcfae94f45c36f2c956289284ba9bebe68,3,29233|29234|29232
cross_project,2,JDT|PLATFORM,b0e9213a0d09c4982fe4cded1695b24a57ae7191d8b7c32a9a216cdc8e5f181f,6,188044|188032|188034
cross_project,2,JDT|PLATFORM,caba37f3fa12c2ea3723408fce00b4ee6392c42536b2e7756c4aacd763bd9d53,5,21615|23450|44880
cross_project,2,JDT|PLATFORM,8cd75c8d7024f0b74cdb7b37c91bdf422213ed5e7eca135c2422aa42e3a2b87e,4,96774|96765|96770
cross_project,2,JDT|PLATFORM,f3f05c7c6c1fca85247319707689776a3e8ffccaf171dd757cfe0bec9908a9f7,4,27406|27405|27404
cross_project,2,JDT|PLATFORM,00ce7e58c0fa16373038f4f29f0c0cc0755fe20abdbd25fd8f0707f57c645ffa,3,161523|161526|161532
cross_project,2,JDT|PLATFORM,39475a6774bb77ae602dfbedc7660c2778372df1a2a4e20b33ecbcf67ae43991,3,225097|225096|225095
cross_project,2,JDT|PLATFORM,580e3ba05f7f8781102da3c4485c89bd3aced503bd83bd9a7ea52c2b92fb4e1e,3,203148|203150|203147
cross_project,2,JDT|PLATFORM,9d0aa1b7a15339a078d0fcde2a01414752d88d5a0e42051bc7fc15d7d4807948,3,66121|66115|66111
cross_project,2,JDT|PLATFORM,ba7c78ba2145b0e40cf20a9c5dd027036421a52b9c0b70b41bbeb79632b70f20,3,66125|66123|66124
cross_project,2,JDT|PLATFORM,cd16b0fae80cf06bcf5a3441275cbdfa52fab1c06d1b50288091d3ccbc749dba,3,165805|165813|165821
cross_project,2,JDT|PLATFORM,dd608963eea1d5a72a2d8a6b5d21b990c3e82ecfc5bcc69e57f9dd94222422e6,3,486156|486157|486158
cross_project,2,JDT|PLATFORM,dd63b945ce3656eac52f5a1d1791b741b187c34b5c595a8522ac2ac1f77f3aa6,3,33094|33095|33030
cross_project,2,JDT|PLATFORM,fd22fdc4c53a18931ac2275ddfc742a0182dec8cfd11521fafdcedb90b859b98,3,102606|102609|102613
cross_project,2,JDT|PLATFORM,02e0c83996112f110528c6b763cf9336d3d5ad09f3c56662e601cb9d034a4f83,2,326254|326255
cross_project,2,JDT|PLATFORM,0e5a82e05906e24850df282af3296ff57c04fed7eabcd580cfd63fd1a5567527,2,12392|12393
cross_project,2,JDT|PLATFORM,127c09543f5e506eb2087f4212a8d480390d924713cac04182f8acdc2728b81a,2,190036|190038
cross_project,2,JDT|PLATFORM,15da1fe6f6de3b33cf418809c37abd7cafb1ff6330f7f02dee556d4434023c41,2,45891|45887
cross_project,2,JDT|PLATFORM,20fb68bbaf7f5f649a2b2ba49bf673cfa2631e4460ac400abce934576789ea78,2,409455|409456
cross_project,2,JDT|PLATFORM,24d99c44bd7496790fec97cd5699e5867205dbd845522fefc0f8f34135f230fe,2,116972|116970
cross_project,2,JDT|PLATFORM,255f1d868992db47037b8ebda4c7f2d3fc9baf0bb9449a596cdc4c66d5605996,2,73578|73631
cross_project,2,JDT|PLATFORM,357c2320b43a6c0482a5da2f108e4de667fbf36fcb00d4a8a8c1e7b47f914dd7,2,424784|429938
cross_project,2,JDT|PLATFORM,3b64e2add91c85370fc9ce68796efb5eb9a8340414d1a9b3d63e65f2c063836d,2,522251|522250
cross_project,2,JDT|PLATFORM,5b6eadfbd3da09c05c1c7ab5df21df1e40b84ed631b7265e9ab104615f5dd376,2,474073|474070
cross_project,2,JDT|PLATFORM,5c7ac1afc0aaa66791298c7cc257c71017961a75cff0e71ce3945f2b247b9efa,2,416914|417025
cross_project,2,JDT|PLATFORM,5de3df3b579241c498c6daa54b22015377a03a72171029bc5744d553401eb893,2,51932|51933
cross_project,2,JDT|PLATFORM,5fdb2fcf213410c642fce1b7a3e68f92be8e9039e7ef075979ff72d7d18f3848,2,281306|281307
cross_project,2,JDT|PLATFORM,6796ecb9f7c8531227f8344b1b36ff8651dc9e81288782ca7f6965c74da92afc,2,552427|552423
cross_project,2,JDT|PLATFORM,691ed10b7f718f07d9c0abd6a392bcc0596e332de14da696c8c6ef1b54bffb42,2,552171|552106
cross_project,2,JDT|PLATFORM,70730606461bb8aa7b02bb75c9704e2263f4224416dbedc3d6cce2c30b3ddadf,2,513789|513788
cross_project,2,JDT|PLATFORM,7100ab904fa05e3a9dcdebf12794b736e39a4111a5ac03d245ca870088185b12,2,129109|129110
cross_project,2,JDT|PLATFORM,7e4128da16935768909c91c0e28e460203c91f6fc63897f9525cbae4d52c96c5,2,65983|65975
cross_project,2,JDT|PLATFORM,8d0afd4a66b32a096b93bc7bff0fcab0dbd347280e5fe64ecfd9cf13087a5170,2,396681|396680
cross_project,2,JDT|PLATFORM,8e6751a1dcde98024dd43d96aecd6fec5569455bac333e29255ebbbadfefc53a,2,52868|52870
cross_project,2,JDT|PLATFORM,a000d880d8a60f4b2c08a62c2786e6a9d4d567ad1666920f8c6339c3f132b012,2,392016|392017
cross_project,2,JDT|PLATFORM,a09dca4c82d32775f47bfdd3585f6905ca700f33f10d10fa9330365c1c7cee0c,2,497824|497823
cross_project,2,JDT|PLATFORM,a6e5ea5d3745076fc48e989d2970c3affd1b7e3ac2d190273ba91dfa47684c9e,2,25933|25934
