family,fold,project,partition,task,class,count
within_project,1,PAPYRUS,VALIDATION,S3,HIGH,419
within_project,1,PAPYRUS,VALIDATION,S3,MEDIUM,1605
within_project,1,PAPYRUS,VALIDATION,S3,LOW,136
within_project,1,PAPYRUS,VALIDATION,S2,HIGH_IMPACT,419
within_project,1,PAPYRUS,VALIDATION,S2,LOWER_IMPACT,1741
within_project,1,PLATFORM,TRAINING,S6,blocker,327
within_project,1,PLATFORM,TRAINING,S6,critical,1102
within_project,1,PLATFORM,TRAINING,S6,major,2324
within_project,1,PLATFORM,TRAINING,S6,normal,16668
within_project,1,PLATFORM,TRAINING,S6,minor,740
within_project,1,PLATFORM,TRAINING,S6,trivial,199
within_project,1,PLATFORM,TRAINING,S3,HIGH,3753
within_project,1,PLATFORM,TRAINING,S3,MEDIUM,16668
within_project,1,PLATFORM,TRAINING,S3,LOW,939
within_project,1,PLATFORM,TRAINING,S2,HIGH_IMPACT,3753
within_project,1,PLATFORM,TRAINING,S2,LOWER_IMPACT,17607
within_project,1,PLATFORM,VALIDATION,S6,blocker,334
within_project,1,PLATFORM,VALIDATION,S6,critical,744
within_project,1,PLATFORM,VALIDATION,S6,major,2206
within_project,1,PLATFORM,VALIDATION,S6,normal,15933
within_project,1,PLATFORM,VALIDATION,S6,minor,953
within_project,1,PLATFORM,VALIDATION,S6,trivial,450
within_project,1,PLATFORM,VALIDATION,S3,HIGH,3284
within_project,1,PLATFORM,VALIDATION,S3,MEDIUM,15933
within_project,1,PLATFORM,VALIDATION,S3,LOW,1403
within_project,1,PLATFORM,VALIDATION,S2,HIGH_IMPACT,3284
within_project,1,PLATFORM,VALIDATION,S2,LOWER_IMPACT,17336
within_project,1,TPTP,TRAINING,S6,blocker,91
within_project,1,TPTP,TRAINING,S6,critical,79
within_project,1,TPTP,TRAINING,S6,major,259
within_project,1,TPTP,TRAINING,S6,normal,1370
within_project,1,TPTP,TRAINING,S6,minor,82
within_project,1,TPTP,TRAINING,S6,trivial,10
within_project,1,TPTP,TRAINING,S3,HIGH,429
within_project,1,TPTP,TRAINING,S3,MEDIUM,1370
within_project,1,TPTP,TRAINING,S3,LOW,92
within_project,1,TPTP,TRAINING,S2,HIGH_IMPACT,429
within_project,1,TPTP,TRAINING,S2,LOWER_IMPACT,1462
within_project,1,TPTP,VALIDATION,S6,blocker,110
within_project,1,TPTP,VALIDATION,S6,critical,198
within_project,1,TPTP,VALIDATION,S6,major,343
within_project,1,TPTP,VALIDATION,S6,normal,1192
within_project,1,TPTP,VALIDATION,S6,minor,32
within_project,1,TPTP,VALIDATION,S6,trivial,4
within_project,1,TPTP,VALIDATION,S3,HIGH,651
within_project,1,TPTP,VALIDATION,S3,MEDIUM,1192
within_project,1,TPTP,VALIDATION,S3,LOW,36
within_project,1,TPTP,VALIDATION,S2,HIGH_IMPACT,651
within_project,1,TPTP,VALIDATION,S2,LOWER_IMPACT,1228
within_project,2,BIRT,TRAINING,S6,blocker,326
within_project,2,BIRT,TRAINING,S6,critical,458
within_project,2,BIRT,TRAINING,S6,major,1359
within_project,2,BIRT,TRAINING,S6,normal,5956
within_project,2,BIRT,TRAINING,S6,minor,291
within_project,2,BIRT,TRAINING,S6,trivial,62
within_project,2,BIRT,TRAINING,S3,HIGH,2143
within_project,2,BIRT,TRAINING,S3,MEDIUM,5956
within_project,2,BIRT,TRAINING,S3,LOW,353
within_project,2,BIRT,TRAINING,S2,HIGH_IMPACT,2143
within_project,2,BIRT,TRAINING,S2,LOWER_IMPACT,6309
within_project,2,BIRT,VALIDATION,S6,blocker,92
within_project,2,BIRT,VALIDATION,S6,critical,201
within_project,2,BIRT,VALIDATION,S6,major,545
within_project,2,BIRT,VALIDATION,S6,normal,3265
within_project,2,BIRT,VALIDATION,S6,minor,88
within_project,2,BIRT,VALIDATION,S6,trivial,16
within_project,2,BIRT,VALIDATION,S3,HIGH,838
within_project,2,BIRT,VALIDATION,S3,MEDIUM,3265
within_project,2,BIRT,VALIDATION,S3,LOW,104
within_project,2,BIRT,VALIDATION,S2,HIGH_IMPACT,838
within_project,2,BIRT,VALIDATION,S2,LOWER_IMPACT,3369
within_project,2,MYLYN,TRAINING,S6,blocker,75
within_project,2,MYLYN,TRAINING,S6,critical,93
within_project,2,MYLYN,TRAINING,S6,major,273
within_project,2,MYLYN,TRAINING,S6,normal,2786
within_project,2,MYLYN,TRAINING,S6,minor,525
within_project,2,MYLYN,TRAINING,S6,trivial,117
within_project,2,MYLYN,TRAINING,S3,HIGH,441
within_project,2,MYLYN,TRAINING,S3,MEDIUM,2786
within_project,2,MYLYN,TRAINING,S3,LOW,642
within_project,2,MYLYN,TRAINING,S2,HIGH_IMPACT,441
within_project,2,MYLYN,TRAINING,S2,LOWER_IMPACT,3428
within_project,2,MYLYN,VALIDATION,S6,blocker,19
within_project,2,MYLYN,VALIDATION,S6,critical,50
within_project,2,MYLYN,VALIDATION,S6,major,176
within_project,2,MYLYN,VALIDATION,S6,normal,1173
within_project,2,MYLYN,VALIDATION,S6,minor,287
within_project,2,MYLYN,VALIDATION,S6,trivial,173
within_project,2,MYLYN,VALIDATION,S3,HIGH,245
within_project,2,MYLYN,VALIDATION,S3,MEDIUM,1173
within_project,2,MYLYN,VALIDATION,S3,LOW,460
within_project,2,MYLYN,VALIDATION,S2,HIGH_IMPACT,245
within_project,2,MYLYN,VALIDATION,S2,LOWER_IMPACT,1633
within_project,2,CDT,TRAINING,S6,blocker,139
within_project,2,CDT,TRAINING,S6,critical,245
within_project,2,CDT,TRAINING,S6,major,985
within_project,2,CDT,TRAINING,S6,normal,6100
within_project,2,CDT,TRAINING,S6,minor,340
within_project,2,CDT,TRAINING,S6,trivial,73
within_project,2,CDT,TRAINING,S3,HIGH,1369
within_project,2,CDT,TRAINING,S3,MEDIUM,6100
within_project,2,CDT,TRAINING,S3,LOW,413
within_project,2,CDT,TRAINING,S2,HIGH_IMPACT,1369
within_project,2,CDT,TRAINING,S2,LOWER_IMPACT,6513
within_project,2,CDT,VALIDATION,S6,blocker,30
within_project,2,CDT,VALIDATION,S6,critical,71
within_project,2,CDT,VALIDATION,S6,major,294
within_project,2,CDT,VALIDATION,S6,normal,3131
within_project,2,CDT,VALIDATION,S6,minor,258
within_project,2,CDT,VALIDATION,S6,trivial,53
within_project,2,CDT,VALIDATION,S3,HIGH,395
within_project,2,CDT,VALIDATION,S3,MEDIUM,3131
within_project,2,CDT,VALIDATION,S3,LOW,311
within_project,2,CDT,VALIDATION,S2,HIGH_IMPACT,395
within_project,2,CDT,VALIDATION,S2,LOWER_IMPACT,3442
within_project,2,EQUINOX,TRAINING,S6,blocker,108
within_project,2,EQUINOX,TRAINING,S6,critical,172
within_project,2,EQUINOX,TRAINING,S6,major,368
within_project,2,EQUINOX,TRAINING,S6,normal,4459
within_project,2,EQUINOX,TRAINING,S6,minor,109
within_project,2,EQUINOX,TRAINING,S6,trivial,33
within_project,2,EQUINOX,TRAINING,S3,HIGH,648
within_project,2,EQUINOX,TRAINING,S3,MEDIUM,4459
within_project,2,EQUINOX,TRAINING,S3,LOW,142
within_project,2,EQUINOX,TRAINING,S2,HIGH_IMPACT,648
within_project,2,EQUINOX,TRAINING,S2,LOWER_IMPACT,4601
within_project,2,EQUINOX,VALIDATION,S6,blocker,41
within_project,2,EQUINOX,VALIDATION,S6,critical,75
within_project,2,EQUINOX,VALIDATION,S6,major,185
within_project,2,EQUINOX,VALIDATION,S6,normal,2086
within_project,2,EQUINOX,VALIDATION,S6,minor,89
within_project,2,EQUINOX,VALIDATION,S6,trivial,24
within_project,2,EQUINOX,VALIDATION,S3,HIGH,301
within_project,2,EQUINOX,VALIDATION,S3,MEDIUM,2086
within_project,2,EQUINOX,VALIDATION,S3,LOW,113
within_project,2,EQUINOX,VALIDATION,S2,HIGH_IMPACT,301
within_project,2,EQUINOX,VALIDATION,S2,LOWER_IMPACT,2199
within_project,2,JDT,TRAINING,S6,blocker,174
within_project,2,JDT,TRAINING,S6,critical,737
within_project,2,JDT,TRAINING,S6,major,1811
within_project,2,JDT,TRAINING,S6,normal,16960
within_project,2,JDT,TRAINING,S6,minor,1219
within_project,2,JDT,TRAINING,S6,trivial,329
within_project,2,JDT,TRAINING,S3,HIGH,2722
within_project,2,JDT,TRAINING,S3,MEDIUM,16960
within_project,2,JDT,TRAINING,S3,LOW,1548
within_project,2,JDT,TRAINING,S2,HIGH_IMPACT,2722
within_project,2,JDT,TRAINING,S2,LOWER_IMPACT,18508
within_project,2,JDT,VALIDATION,S6,blocker,89
within_project,2,JDT,VALIDATION,S6,critical,232
within_project,2,JDT,VALIDATION,S6,major,864
within_project,2,JDT,VALIDATION,S6,normal,7917
within_project,2,JDT,VALIDATION,S6,minor,801
within_project,2,JDT,VALIDATION,S6,trivial,294
within_project,2,JDT,VALIDATION,S3,HIGH,1185
within_project,2,JDT,VALIDATION,S3,MEDIUM,7917
within_project,2,JDT,VALIDATION,S3,LOW,1095
within_project,2,JDT,VALIDATION,S2,HIGH_IMPACT,1185
within_project,2,JDT,VALIDATION,S2,LOWER_IMPACT,9012
within_project,2,PDE,TRAINING,S6,blocker,89
within_project,2,PDE,TRAINING,S6,critical,246
within_project,2,PDE,TRAINING,S6,major,542
within_project,2,PDE,TRAINING,S6,normal,5073
within_project,2,PDE,TRAINING,S6,minor,218
within_project,2,PDE,TRAINING,S6,trivial,69
within_project,2,PDE,TRAINING,S3,HIGH,877
within_project,2,PDE,TRAINING,S3,MEDIUM,5073
within_project,2,PDE,TRAINING,S3,LOW,287
within_project,2,PDE,TRAINING,S2,HIGH_IMPACT,877
within_project,2,PDE,TRAINING,S2,LOWER_IMPACT,5360
within_project,2,PDE,VALIDATION,S6,blocker,25
within_project,2,PDE,VALIDATION,S6,critical,59
within_project,2,PDE,VALIDATION,S6,major,238
within_project,2,PDE,VALIDATION,S6,normal,2551
within_project,2,PDE,VALIDATION,S6,minor,119
within_project,2,PDE,VALIDATION,S6,trivial,47
within_project,2,PDE,VALIDATION,S3,HIGH,322
within_project,2,PDE,VALIDATION,S3,MEDIUM,2551
within_project,2,PDE,VALIDATION,S3,LOW,166
within_project,2,PDE,VALIDATION,S2,HIGH_IMPACT,322
within_project,2,PDE,VALIDATION,S2,LOWER_IMPACT,2717
within_project,2,PAPYRUS,TRAINING,S6,blocker,52
within_project,2,PAPYRUS,TRAINING,S6,critical,185
within_project,2,PAPYRUS,TRAINING,S6,major,576
within_project,2,PAPYRUS,TRAINING,S6,normal,3337
within_project,2,PAPYRUS,TRAINING,S6,minor,171
within_project,2,PAPYRUS,TRAINING,S6,trivial,43
within_project,2,PAPYRUS,TRAINING,S3,HIGH,813
within_project,2,PAPYRUS,TRAINING,S3,MEDIUM,3337
within_project,2,PAPYRUS,TRAINING,S3,LOW,214
within_project,2,PAPYRUS,TRAINING,S2,HIGH_IMPACT,813
within_project,2,PAPYRUS,TRAINING,S2,LOWER_IMPACT,3551
within_project,2,PAPYRUS,VALIDATION,S6,blocker,28
within_project,2,PAPYRUS,VALIDATION,S6,critical,60
within_project,2,PAPYRUS,VALIDATION,S6,major,208
within_project,2,PAPYRUS,VALIDATION,S6,normal,1754
within_project,2,PAPYRUS,VALIDATION,S6,minor,77
within_project,2,PAPYRUS,VALIDATION,S6,trivial,38
within_project,2,PAPYRUS,VALIDATION,S3,HIGH,296
within_project,2,PAPYRUS,VALIDATION,S3,MEDIUM,1754
within_project,2,PAPYRUS,VALIDATION,S3,LOW,115
within_project,2,PAPYRUS,VALIDATION,S2,HIGH_IMPACT,296
within_project,2,PAPYRUS,VALIDATION,S2,LOWER_IMPACT,1869
within_project,2,PLATFORM,TRAINING,S6,blocker,697
within_project,2,PLATFORM,TRAINING,S6,critical,1884
within_project,2,PLATFORM,TRAINING,S6,major,4615
within_project,2,PLATFORM,TRAINING,S6,normal,33144
within_project,2,PLATFORM,TRAINING,S6,minor,1724
within_project,2,PLATFORM,TRAINING,S6,trivial,657
within_project,2,PLATFORM,TRAINING,S3,HIGH,7196
within_project,2,PLATFORM,TRAINING,S3,MEDIUM,33144
within_project,2,PLATFORM,TRAINING,S3,LOW,2381
within_project,2,PLATFORM,TRAINING,S2,HIGH_IMPACT,7196
within_project,2,PLATFORM,TRAINING,S2,LOWER_IMPACT,35525
within_project,2,PLATFORM,VALIDATION,S6,blocker,299
within_project,2,PLATFORM,VALIDATION,S6,critical,658
within_project,2,PLATFORM,VALIDATION,S6,major,2167
within_project,2,PLATFORM,VALIDATION,S6,normal,15915
within_project,2,PLATFORM,VALIDATION,S6,minor,965
within_project,2,PLATFORM,VALIDATION,S6,trivial,453
within_project,2,PLATFORM,VALIDATION,S3,HIGH,3124
within_project,2,PLATFORM,VALIDATION,S3,MEDIUM,15915
within_project,2,PLATFORM,VALIDATION,S3,LOW,1418
within_project,2,PLATFORM,VALIDATION,S2,HIGH_IMPACT,3124
within_project,2,PLATFORM,VALIDATION,S2,LOWER_IMPACT,17333
within_project,2,TPTP,TRAINING,S6,blocker,202
within_project,2,TPTP,TRAINING,S6,critical,280
within_project,2,TPTP,TRAINING,S6,major,607
within_project,2,TPTP,TRAINING,S6,normal,2566
within_project,2,TPTP,TRAINING,S6,minor,114
within_project,2,TPTP,TRAINING,S6,trivial,14
within_project,2,TPTP,TRAINING,S3,HIGH,1089
within_project,2,TPTP,TRAINING,S3,MEDIUM,2566
within_project,2,TPTP,TRAINING,S3,LOW,128
within_project,2,TPTP,TRAINING,S2,HIGH_IMPACT,1089
within_project,2,TPTP,TRAINING,S2,LOWER_IMPACT,2694
within_project,2,TPTP,VALIDATION,S6,blocker,96
within_project,2,TPTP,VALIDATION,S6,critical,237
within_project,2,TPTP,VALIDATION,S6,major,459
within_project,2,TPTP,VALIDATION,S6,normal,1014
within_project,2,TPTP,VALIDATION,S6,minor,23
within_project,2,TPTP,VALIDATION,S6,trivial,5
within_project,2,TPTP,VALIDATION,S3,HIGH,792
within_project,2,TPTP,VALIDATION,S3,MEDIUM,1014
within_project,2,TPTP,VALIDATION,S3,LOW,28
within_project,2,TPTP,VALIDATION,S2,HIGH_IMPACT,792
within_project,2,TPTP,VALIDATION,S2,LOWER_IMPACT,1042
within_project,3,BIRT,TRAINING,S6,blocker,418
within_project,3,BIRT,TRAINING,S6,critical,660
within_project,3,BIRT,TRAINING,S6,major,1905
within_project,3,BIRT,TRAINING,S6,normal,9238
within_project,3,BIRT,TRAINING,S6,minor,379
within_project,3,BIRT,TRAINING,S6,trivial,78
within_project,3,BIRT,TRAINING,S3,HIGH,2983
within_project,3,BIRT,TRAINING,S3,MEDIUM,9238
within_project,3,BIRT,TRAINING,S3,LOW,457
within_project,3,BIRT,TRAINING,S2,HIGH_IMPACT,2983
within_project,3,BIRT,TRAINING,S2,LOWER_IMPACT,9695
within_project,3,BIRT,VALIDATION,S6,blocker,101
within_project,3,BIRT,VALIDATION,S6,critical,139
within_project,3,BIRT,VALIDATION,S6,major,367
within_project,3,BIRT,VALIDATION,S6,normal,3459
within_project,3,BIRT,VALIDATION,S6,minor,87
within_project,3,BIRT,VALIDATION,S6,trivial,17
within_project,3,BIRT,VALIDATION,S3,HIGH,607
within_project,3,BIRT,VALIDATION,S3,MEDIUM,3459
within_project,3,BIRT,VALIDATION,S3,LOW,104
within_project,3,BIRT,VALIDATION,S2,HIGH_IMPACT,607
within_project,3,BIRT,VALIDATION,S2,LOWER_IMPACT,3563
within_project,3,MYLYN,TRAINING,S6,blocker,94
within_project,3,MYLYN,TRAINING,S6,critical,144
within_project,3,MYLYN,TRAINING,S6,major,454
within_project,3,MYLYN,TRAINING,S6,normal,3995
within_project,3,MYLYN,TRAINING,S6,minor,822
within_project,3,MYLYN,TRAINING,S6,trivial,294
within_project,3,MYLYN,TRAINING,S3,HIGH,692
within_project,3,MYLYN,TRAINING,S3,MEDIUM,3995
within_project,3,MYLYN,TRAINING,S3,LOW,1116
within_project,3,MYLYN,TRAINING,S2,HIGH_IMPACT,692
within_project,3,MYLYN,TRAINING,S2,LOWER_IMPACT,5111
within_project,3,MYLYN,VALIDATION,S6,blocker,8
within_project,3,MYLYN,VALIDATION,S6,critical,30
within_project,3,MYLYN,VALIDATION,S6,major,179
within_project,3,MYLYN,VALIDATION,S6,normal,1314
within_project,3,MYLYN,VALIDATION,S6,minor,218
within_project,3,MYLYN,VALIDATION,S6,trivial,160
within_project,3,MYLYN,VALIDATION,S3,HIGH,217
within_project,3,MYLYN,VALIDATION,S3,MEDIUM,1314
within_project,3,MYLYN,VALIDATION,S3,LOW,378
within_project,3,MYLYN,VALIDATION,S2,HIGH_IMPACT,217
within_project,3,MYLYN,VALIDATION,S2,LOWER_IMPACT,1692
within_project,3,CDT,TRAINING,S6,blocker,170
